delta,alpha1,alpha2,alpha3,alpha4,alpha5,E_lower,E_upper
0.03,0.045125323,0.045125323,0.469241692,0.329083193,0.111424469,2.184643448,2.183911673
0.03,0.027676299,0.027676299,0.189593309,0.484743879,0.270310213,2.465146473,2.464946352
0.03,0.056695703,0.056695703,0.087919372,0.33901749,0.459671733,2.041087563,2.040164884
0.03,0.052168793,0.052168793,0.326206803,0.472712751,0.09674286,2.243744579,2.242528128
0.03,0.068503377,0.068503377,0.094246071,0.292770706,0.475976468,2.295182861,2.292596615
0.03,0.040661566,0.040661566,0.495587366,0.162841669,0.260247832,2.715874913,2.714786411
0.03,0.021104996,0.021104996,0.183307692,0.276258509,0.498223806,2.773980188,2.77395241
0.03,0.076895586,0.076895586,0.470819183,0.148036845,0.2273528,2.194619289,2.191804703
0.03,0.165952744,0.165952744,0.490943241,0.162517419,0.014633851,2.613138875,2.601121698
0.03,0.04575048,0.04575048,0.228542225,0.458057609,0.221899205,1.976628298,1.976200058
0.03,0.113111226,0.113111226,0.065047098,0.243694468,0.465035981,2.092478179,2.090049622
0.03,0.040116221,0.040116221,0.130312868,0.335223282,0.454231409,1.95915155,1.958935322
0.03,0.069781671,0.069781671,0.134651294,0.493865835,0.23191953,2.682093642,2.677890393
0.03,0.070548153,0.070548153,0.248317959,0.116798768,0.493786968,2.678583527,2.674305208
0.03,0.037135669,0.037135669,0.487185399,0.101764288,0.336778976,2.526465031,2.5257997
0.04,0.071980096,0.071980096,0.150525243,0.213928595,0.491585969,2.27655296,2.273712031
0.04,0.124465642,0.124465642,0.031802294,0.242593682,0.47667274,2.031813351,2.031535425
0.04,0.03733719,0.03733719,0.435908686,0.439128435,0.050288499,1.934429825,1.934269875
0.04,0.101797509,0.101797509,0.154234767,0.495982509,0.146187707,2.359827349,2.353408801
0.04,0.051807616,0.051807616,0.141024876,0.481124442,0.27423545,2.102946312,2.10197907
0.04,0.052066476,0.052066476,0.438428594,0.022065341,0.435373113,1.926816773,1.9263433
0.04,0.072106041,0.072106041,0.175826045,0.215278504,0.464683369,1.859853147,1.859252949
0.04,0.036986926,0.036986926,0.143483688,0.459353068,0.323189391,1.825609559,1.825553634
0.04,0.063731484,0.063731484,0.091489967,0.31874693,0.462300134,1.858025563,1.857513048
0.04,0.065905371,0.065905371,0.491253703,0.203294619,0.173640937,2.270116731,2.267789246
0.04,0.063271342,0.063271342,0.296086798,0.106854981,0.470515538,1.953267516,1.952340824
